step,days,C,P,E,N,H,R,total
531,0.36875,615,235,119,79,177,40,1265
532,0.369444,615,235,119,79,177,40,1265
533,0.370139,615,235,119,79,177,40,1265
534,0.370833,615,235,119,79,177,40,1265
535,0.371528,615,235,119,79,177,40,1265
536,0.372222,615,235,119,79,178,40,1266
537,0.372917,615,235,119,79,178,40,1266
538,0.373611,615,235,119,79,179,40,1267
539,0.374306,615,235,119,79,179,40,1267
540,0.375,615,235,119,79,179,40,1267
541,0.375694,615,235,119,79,179,40,1267
542,0.376389,615,234,119,79,179,40,1266
543,0.377083,616,234,119,79,179,40,1267
544,0.377778,616,234,119,79,179,40,1267
545,0.378472,616,234,119,79,179,40,1267
546,0.379167,616,234,119,79,179,40,1267
547,0.379861,617,234,119,79,179,40,1268
548,0.380556,617,234,119,79,179,40,1268
549,0.38125,617,234,119,79,179,40,1268
550,0.381944,617,234,119,79,179,40,1268
551,0.382639,617,234,119,79,179,40,1268
552,0.383333,617,234,119,79,179,40,1268
553,0.384028,617,234,119,79,179,40,1268
554,0.384722,617,234,119,79,179,40,1268
555,0.385417,617,234,119,79,179,40,1268
556,0.386111,617,234,119,79,179,40,1268
557,0.386806,617,234,119,79,179,40,1268
558,0.3875,617,234,119,79,179,40,1268
559,0.388194,617,235,119,79,179,40,1269
560,0.388889,617,235,119,79,179,40,1269
561,0.389583,617,235,119,79,179,40,1269
562,0.390278,617,235,119,79,179,40,1269
563,0.390972,617,235,119,79,179,40,1269
564,0.391667,617,235,118,79,179,40,1268
565,0.392361,617,235,118,78,179,40,1267
566,0.393056,617,235,118,78,179,40,1267
567,0.39375,617,235,118,78,179,40,1267
568,0.394444,617,235,118,78,179,40,1267
569,0.395139,617,235,118,78,179,40,1267
570,0.395833,617,235,118,78,179,40,1267
571,0.396528,617,235,118,78,179,40,1267
572,0.397222,617,235,118,78,179,40,1267
573,0.397917,617,235,118,78,179,40,1267
574,0.398611,617,235,118,78,179,40,1267
575,0.399306,617,235,118,78,180,40,1268
576,0.4,617,235,118,78,180,40,1268
577,0.400694,617,235,118,78,180,40,1268
578,0.401389,617,235,118,78,180,40,1268
579,0.402083,617,235,118,78,180,40,1268
580,0.402778,617,235,118,78,180,40,1268
581,0.403472,617,235,118,78,180,40,1268
582,0.404167,617,235,118,78,180,40,1268
583,0.404861,617,235,119,78,180,40,1269
584,0.405556,617,235,119,78,180,40,1269
585,0.40625,617,235,119,78,180,40,1269
586,0.406944,617,235,119,78,180,40,1269
587,0.407639,617,235,119,78,180,40,1269
588,0.408333,617,235,119,78,180,40,1269
589,0.409028,617,235,119,78,180,40,1269
590,0.409722,617,235,119,78,180,40,1269
591,0.410417,617,235,119,78,180,40,1269
592,0.411111,617,235,119,78,180,40,1269
593,0.411806,617,235,119,78,180,40,1269
594,0.4125,617,235,119,78,180,40,1269
595,0.413194,617,235,119,78,180,40,1269
596,0.413889,617,235,119,78,180,40,1269
597,0.414583,617,235,119,78,180,40,1269
598,0.415278,617,235,119,78,180,40,1269
599,0.415972,617,235,119,78,180,40,1269
600,0.416667,617,235,119,78,180,40,1269
601,0.417361,617,235,119,78,180,40,1269
602,0.418056,617,235,119,78,180,40,1269
603,0.41875,617,235,119,78,180,40,1269
604,0.419444,617,235,119,78,180,40,1269
605,0.420139,617,235,119,78,180,40,1269
606,0.420833,617,235,119,78,180,40,1269
607,0.421528,617,235,119,78,180,39,1268
608,0.422222,617,235,119,78,180,39,1268
609,0.422917,617,235,119,78,180,39,1268
610,0.423611,617,235,119,78,180,39,1268
611,0.424306,617,235,119,78,180,39,1268
612,0.425,617,235,119,78,180,39,1268
613,0.425694,617,235,119,78,180,39,1268
614,0.426389,617,235,119,78,180,39,1268
615,0.427083,617,235,119,78,180,39,1268
616,0.427778,617,235,119,78,180,39,1268
617,0.428472,617,235,119,78,180,39,1268
618,0.429167,617,235,119,78,180,39,1268
619,0.429861,617,234,119,78,179,39,1266
620,0.430556,617,234,119,78,179,39,1266
621,0.43125,617,234,119,78,179,39,1266
622,0.431944,617,234,119,78,179,39,1266
623,0.432639,617,234,119,78,179,39,1266
624,0.433333,617,234,119,78,179,39,1266
625,0.434028,617,234,120,78,179,39,1267
